Ciclo,Hum Suelo (),Temp Suelo (C)
1,4,16.875
2,4,16.812
3,4,16.688
4,4,16.562
5,4,16.500
6,4,16.375
7,4,16.312
8,4,16.188
9,4,16.125
10,4,16.062
11,4,16.000
12,4,15.875
13,4,15.875
14,5,15.812
15,4,15.750
16,5,15.688
17,5,15.625
18,5,15.562
19,5,15.562
20,5,15.500
21,5,15.438
22,5,15.375
23,5,15.375
24,5,15.312
25,5,15.312
26,5,15.250
27,5,15.188
28,5,15.188
29,5,15.188
30,5,15.125
31,6,15.125
32,5,15.062
33,5,15.062
34,6,15.062
35,6,15.062
36,6,15.000
37,6,15.000
38,6,15.000
39,6,15.000
40,6,14.938
41,6,14.938
42,6,15.000
43,6,14.938
44,6,14.938
45,6,14.938
46,6,14.938
47,6,14.938
48,6,14.875
49,6,14.938
50,6,14.875
51,6,14.875
52,6,14.875
53,6,14.875
54,6,14.875
55,6,14.875
56,6,14.875
57,6,14.875
58,6,14.812
59,6,14.812
60,6,14.812
61,6,14.812
62,6,14.812
63,6,14.812
64,6,14.812
65,6,14.812
66,6,14.812
67,6,14.812
68,6,14.812
69,6,14.812
70,9,14.812
71,8,14.750
72,8,14.812
73,31,14.812
74,24,14.812
75,25,14.750
76,26,14.812
77,24,14.812
78,23,14.812
79,22,14.812
80,21,14.812
81,21,14.812
82,21,14.812
83,21,14.875
84,21,14.875
85,20,14.875
86,20,14.875
87,20,14.875
88,19,14.875
89,20,14.938
90,19,14.938
91,19,14.938
92,19,14.938
93,18,14.938
94,18,14.938
95,18,14.938
96,18,14.938
97,18,14.938
98,18,14.938
99,18,14.938
100,18,15.000
101,18,15.000
102,18,14.938
103,18,15.000
104,18,15.000
105,18,15.000
106,18,15.000
107,18,15.000
108,18,15.000
109,18,15.000
110,17,15.000
111,18,15.000
112,18,15.000
113,18,15.000
114,17,15.000
115,18,15.000
116,17,15.000
117,17,15.000
118,17,15.000
119,17,15.000
120,18,15.000
121,17,15.000
122,17,15.000
123,17,15.000
124,18,15.000
125,17,15.000
126,17,15.000
127,17,15.000
128,17,15.000
129,17,15.000
130,18,15.000
131,17,15.000
132,17,15.000
133,17,15.000
134,17,15.000
135,17,15.000
136,18,15.000
137,18,15.000
138,17,15.000
139,17,15.062
140,17,15.000
141,18,15.000
142,17,15.000
143,17,15.000
144,17,15.000
145,17,15.000
146,18,15.000
147,18,15.000
148,18,15.000
149,18,15.000
150,17,15.000
151,18,15.000
152,17,15.000
153,17,15.000
154,18,15.000
155,17,15.000
156,17,15.000
157,17,15.000
158,18,15.062
159,17,15.000
160,18,15.000
161,17,15.000
162,18,15.062
163,18,15.062
164,18,15.000
165,17,15.000
166,17,15.000
167,18,15.062
168,17,15.062
169,17,15.000
170,17,15.000
171,17,15.062
172,17,15.062
173,17,15.062
174,17,15.000
175,17,15.062
176,17,15.062
177,17,15.062
178,17,15.000
179,17,15.062
180,17,15.062
181,17,15.000
182,17,15.062
183,17,15.000
184,17,15.062
185,17,15.062
186,17,15.062
187,17,15.062
188,17,15.062
189,17,15.062
190,17,15.062
191,17,15.062
192,17,15.062
193,17,15.062
194,17,15.062
195,17,15.062
196,17,15.062
197,17,15.062
198,17,15.062
199,17,15.062
200,17,15.062
201,17,15.062
202,17,15.062
203,17,15.062
204,17,15.062
205,17,15.062
206,17,15.062
207,17,15.062
208,17,15.062
209,17,15.062
210,17,15.062
211,17,15.062
212,17,15.062
213,17,15.062
214,17,15.062
215,17,15.062
216,17,15.062
217,17,15.062
218,17,15.062
219,17,15.062
220,17,15.062
221,17,15.062
222,17,15.062
223,18,15.062
224,17,15.062
225,17,15.062
226,17,15.062
227,17,15.062
228,17,15.062
229,17,15.062
230,17,15.062
231,17,15.062
232,18,15.062
233,17,15.062
234,17,15.062
235,17,15.062
236,17,15.062
237,17,15.062
238,18,15.062
239,17,15.062
240,17,15.062
241,17,15.062
242,17,15.062
243,18,15.062
244,17,15.062
245,17,15.062
246,17,15.062
247,18,15.062
248,17,15.062
249,17,15.062
250,17,15.062
251,17,15.062
252,17,15.062
253,17,15.062
254,17,15.062
255,17,15.062
256,18,15.062
257,18,15.062
258,17,15.062
259,18,15.062
260,17,15.062
261,17,15.062
262,18,15.062
263,17,15.062
264,18,15.062
265,17,15.062
266,17,15.062
267,17,15.062
268,18,15.062
269,17,15.062
270,17,15.062
271,17,15.062
272,17,15.062
273,18,15.062
274,17,15.062
275,17,15.062
276,17,15.062
277,18,15.062
278,18,15.000
279,18,15.062
280,17,15.062
281,17,15.062
282,17,15.062
283,18,15.062
284,17,15.062
285,18,15.062
286,17,15.000
287,18,15.062
288,17,15.062
289,18,15.062
290,18,15.062
291,18,15.000
292,18,15.000
293,17,15.062
294,18,15.000
295,17,15.062
296,17,15.000
297,18,15.062
298,18,15.062
299,17,15.000
300,17,15.000
301,18,15.000
302,18,15.062
303,18,15.000
304,18,15.000
305,18,15.000
306,18,15.000
307,18,15.000
308,18,15.000
309,17,15.000
310,17,15.000
311,18,15.000
312,18,15.000
313,17,15.000
314,18,15.000
315,18,15.000
316,18,15.000
317,18,15.000
318,17,15.000
319,18,14.938
320,18,15.000
321,18,15.000
322,17,15.000
323,18,15.000
324,18,15.000
325,18,15.000
326,18,14.938
327,18,14.938
328,18,15.000
329,18,15.000
330,18,15.000
331,18,14.938
332,18,14.938
333,18,14.938
334,18,15.000
335,18,14.938
336,18,15.000
337,18,14.938
338,18,14.938
339,18,14.938
340,18,14.938
341,18,14.938
342,18,14.938
343,18,14.938
344,18,14.938
345,18,14.938
346,18,14.938
347,18,14.938
348,17,14.938
349,18,14.938
350,18,14.938
351,18,14.938
352,18,14.938
353,18,14.938
354,18,14.938
355,18,14.938
356,18,14.938
357,18,14.938
358,18,14.938
359,18,14.875
360,18,14.938
361,18,14.875
362,18,14.875
363,18,14.875
364,18,14.875
365,18,14.875
366,18,14.875
367,18,14.875
368,18,14.938
369,18,14.875
370,18,14.875
371,18,14.875
372,18,14.875
373,18,14.875
374,18,14.875
375,18,14.875
376,18,14.875
377,18,14.875
378,18,14.875
379,18,14.875
380,18,14.875
381,18,14.812
382,18,14.812
383,18,14.812
384,18,14.875
385,18,14.812
386,18,14.875
387,18,14.812
388,18,14.812
389,18,14.875
390,18,14.812
391,18,14.812
392,18,14.812
393,18,14.812
394,18,14.812
395,18,14.812
396,18,14.812
397,18,14.812
398,18,14.812
399,18,14.812
400,18,14.812
401,18,14.812
402,18,14.812
403,18,14.812
404,18,14.812
405,18,14.812
406,18,14.812
407,18,14.750
408,18,14.812
409,18,14.750
410,18,14.750
411,18,14.750
412,18,14.750
413,18,14.812
414,18,14.750
415,18,14.750
416,18,14.750
417,18,14.750
418,18,14.750
419,18,14.750
420,18,14.750
421,18,14.750
422,18,14.750
423,18,14.750
424,18,14.750
425,18,14.750
426,18,14.750
427,18,14.688
428,18,14.750
429,18,14.750
430,18,14.750
431,18,14.688
432,18,14.688
433,18,14.688
434,17,14.688
435,17,14.750
436,17,14.688
437,17,14.688
438,17,14.688
439,17,14.688
440,17,14.688
441,17,14.688
442,17,14.688
443,17,14.688
444,17,14.688
445,17,14.688
446,17,14.688
447,17,14.688
448,17,14.688
449,17,14.688
450,17,14.688
451,17,14.688
452,17,14.688
453,17,14.625
454,17,14.688
455,17,14.625
456,17,14.625
457,17,14.625
458,17,14.625
459,17,14.625
460,17,14.625
461,17,14.625
462,17,14.625
463,17,14.625
464,17,14.625
465,17,14.625
466,17,14.625
467,17,14.625
468,17,14.562
469,17,14.625
470,17,14.562
471,17,14.562
472,17,14.562
473,17,14.625
474,17,14.562
475,17,14.625
476,17,14.625
477,17,14.562
478,17,14.562
479,17,14.562
480,17,14.562
481,17,14.562
482,17,14.562
483,17,14.562
484,17,14.562
485,17,14.562
486,17,14.562
487,17,14.562
488,17,14.562
489,17,14.562
490,17,14.562
491,17,14.562
492,17,14.562
493,17,14.562
494,17,14.562
495,17,14.562
496,17,14.562
497,17,14.562
498,17,14.500
499,17,14.562
500,17,14.562
501,17,14.500
502,17,14.500
503,17,14.500
504,17,14.562
505,17,14.500
506,17,14.500
507,17,14.500
508,17,14.500
509,17,14.500
510,17,14.500
511,17,14.500
512,17,14.500
513,17,14.500
514,17,14.500
515,17,14.500
516,17,14.438
517,17,14.500
518,17,14.438
519,17,14.438
520,17,14.438
521,17,14.438
522,17,14.500
523,17,14.438
524,17,14.438
525,17,14.438
526,17,14.438
527,17,14.438
528,17,14.438
529,17,14.438
530,17,14.438
531,17,14.438
532,17,14.438
533,17,14.438
534,17,14.438
535,17,14.438
536,17,14.438
537,17,14.438
538,17,14.438
539,17,14.375
540,17,14.438
541,17,14.375
542,17,14.375
543,17,14.375
544,17,14.375
545,17,14.375
546,17,14.375
547,17,14.375
548,17,14.375
549,17,14.375
550,17,14.375
551,17,14.375
552,17,14.375
553,17,14.375
554,17,14.375
555,17,14.375
556,17,14.375
557,17,14.375
558,17,14.312
559,17,14.375
560,17,14.375
561,17,14.312
562,17,14.312
563,17,14.312
564,17,14.312
565,17,14.312
566,17,14.312
567,17,14.312
568,17,14.312
569,17,14.312
570,17,14.312
571,17,14.312
572,17,14.312
573,17,14.312
574,17,14.312
575,17,14.312
576,17,14.312
577,17,14.312
578,17,14.312
579,17,14.312
580,17,14.312
581,17,14.312
582,17,14.312
583,17,14.312
584,17,14.250
585,17,14.312
586,17,14.250
587,17,14.250
588,17,14.250
589,17,14.250
590,17,14.250
591,17,14.250
592,17,14.250
593,17,14.250
594,17,14.250
595,17,14.250
596,17,14.250
597,17,14.250
598,17,14.250
599,17,14.250
600,17,14.250
601,17,14.188
602,17,14.250
603,17,14.250
604,17,14.250
605,17,14.188
606,17,14.250
607,17,14.188
608,17,14.188
609,17,14.188
610,17,14.250
611,17,14.188
612,17,14.188
613,17,14.188
614,17,14.188
615,17,14.188
616,17,14.188
617,17,14.188
618,17,14.188
619,17,14.188
620,17,14.188
621,17,14.125
622,17,14.188
623,17,14.188
624,17,14.188
625,17,14.125
626,17,14.125
627,17,14.188
628,17,14.125
629,17,14.188
630,17,14.125
631,17,14.125
632,17,14.125
633,17,14.125
634,17,14.125
635,17,14.125
636,17,14.125
637,17,14.125
638,17,14.125
639,17,14.125
640,17,14.125
641,17,14.125
642,17,14.125
643,17,14.125
644,17,14.062
645,17,14.125
646,17,14.125
647,17,14.125
648,17,14.125
649,17,14.062
650,17,14.062
651,17,14.062
652,17,14.062
653,17,14.062
654,17,14.062
655,17,14.062
656,17,14.062
657,17,14.062
658,17,14.062
659,17,14.062
660,17,14.062
661,17,14.062
662,17,14.062
663,17,14.062
664,17,14.062
665,17,14.062
666,17,14.062
667,17,14.062
668,17,14.062
669,17,14.062
670,17,14.000
671,17,14.062
672,17,14.000
673,17,14.062
674,17,14.062
675,17,14.062
676,17,14.000
677,17,14.062
678,17,14.000
679,17,14.000
680,17,14.000
681,17,14.000
682,17,14.000
683,17,14.000
684,17,14.000
685,17,14.000
686,17,14.000
687,17,14.000
688,17,14.000
