Ciclo,Fecha,Hora,Slot Memoria,Slot Valido,Bateria (V),Irradiancia (W/m2),Temp Aire (C),Hum Aire ()
1,08/01/2026,10:45:00,1,1,3.832,3.617,18.375,44
2,08/01/2026,11:05:00,2,1,3.832,3.356,18.289,43
3,08/01/2026,11:25:00,3,1,3.832,3.289,18.404,44
4,08/01/2026,11:45:00,4,1,3.832,3.275,18.546,44
5,08/01/2026,12:05:00,5,1,3.832,3.624,18.629,44
6,08/01/2026,12:25:00,6,1,3.840,6.493,18.869,42
7,08/01/2026,12:45:00,7,1,3.864,7.859,19.518,42
8,08/01/2026,13:05:00,8,1,3.872,51.572,20.888,39
9,08/01/2026,13:25:00,9,1,3.856,9.789,20.533,40
10,08/01/2026,13:45:00,10,1,3.848,8.667,20.450,40
11,08/01/2026,14:05:00,11,1,3.848,8.999,20.872,40
12,08/01/2026,14:25:00,12,1,3.864,12.250,21.774,38
13,08/01/2026,14:45:00,13,1,3.872,14.722,21.352,39
14,08/01/2026,15:05:00,14,1,3.872,40.673,22.255,37
15,08/01/2026,15:25:00,15,1,3.864,31.389,22.172,37
16,08/01/2026,15:45:00,16,1,3.864,24.642,21.748,38
17,08/01/2026,16:05:00,17,1,3.864,25.582,21.224,39
18,08/01/2026,16:25:00,18,1,3.856,9.361,21.368,39
19,08/01/2026,16:45:00,19,1,3.848,0.567,20.746,40
20,08/01/2026,17:05:00,20,1,3.848,0.195,20.252,41
21,08/01/2026,17:25:00,21,1,3.848,0.069,19.673,42
22,08/01/2026,17:45:00,22,1,3.840,0.022,19.280,42
23,08/01/2026,18:05:00,23,1,3.840,0.000,18.981,43
24,08/01/2026,18:25:00,24,1,3.840,0.000,18.799,43
25,08/01/2026,18:45:00,25,1,3.832,0.000,18.602,43
26,08/01/2026,19:05:00,26,1,3.832,0.000,18.559,43
27,08/01/2026,19:25:00,27,1,3.832,0.000,18.346,44
28,08/01/2026,19:45:00,28,1,3.832,0.000,18.276,44
29,08/01/2026,20:05:00,29,1,3.824,0.000,18.191,44
30,08/01/2026,20:25:00,30,1,3.824,0.000,18.052,44
31,08/01/2026,20:45:00,31,1,3.824,0.000,18.009,44
32,08/01/2026,21:05:00,32,1,3.824,0.000,17.996,43
33,08/01/2026,21:25:00,33,1,3.824,0.000,17.966,44
34,08/01/2026,21:45:00,34,1,3.824,0.000,17.937,44
35,08/01/2026,22:05:00,35,1,3.816,0.000,17.910,44
36,08/01/2026,22:25:00,36,1,3.816,0.000,17.811,44
37,08/01/2026,22:45:00,37,1,3.816,0.000,17.686,44
38,08/01/2026,23:05:00,38,1,3.816,0.000,17.601,44
39,08/01/2026,23:25:00,39,1,3.816,0.000,17.443,44
40,08/01/2026,23:45:00,40,1,3.816,0.000,17.374,44
41,09/01/2026,00:05:00,41,1,3.808,0.000,17.219,44
42,09/01/2026,00:25:00,42,1,3.808,0.000,17.093,44
43,09/01/2026,00:45:00,43,1,3.808,0.000,17.008,44
44,09/01/2026,01:05:00,44,1,3.808,0.000,17.021,44
45,09/01/2026,01:25:00,45,1,3.808,0.000,16.965,44
46,09/01/2026,01:45:00,46,1,3.800,0.000,16.882,44
47,09/01/2026,02:05:00,47,1,3.800,0.000,16.807,45
48,09/01/2026,02:25:00,48,1,3.800,0.000,16.751,45
49,09/01/2026,02:45:00,49,1,3.800,0.000,16.738,45
50,09/01/2026,03:05:00,50,1,3.800,0.000,16.765,45
51,09/01/2026,03:25:00,51,1,3.792,0.000,16.725,45
52,09/01/2026,03:45:00,52,1,3.792,0.000,16.709,45
53,09/01/2026,04:05:00,53,1,3.792,0.000,16.639,45
54,09/01/2026,04:25:00,54,1,3.792,0.000,16.570,45
55,09/01/2026,04:45:00,55,1,3.792,0.000,16.583,45
56,09/01/2026,05:05:00,56,1,3.784,0.000,16.527,45
57,09/01/2026,05:25:00,57,1,3.784,0.000,16.458,45
58,09/01/2026,05:45:00,58,1,3.784,0.000,16.428,45
59,09/01/2026,06:05:00,59,1,3.784,0.000,17.064,45
60,09/01/2026,06:25:00,60,1,3.784,0.000,17.120,46
61,09/01/2026,06:45:00,61,1,3.776,0.000,17.288,45
62,09/01/2026,07:05:00,62,1,3.776,0.000,17.400,45
63,09/01/2026,07:25:00,63,1,3.776,0.000,17.515,46
64,09/01/2026,07:45:00,64,1,3.776,0.000,17.528,45
65,09/01/2026,08:05:00,65,1,3.768,0.022,17.571,45
66,09/01/2026,08:25:00,66,1,3.768,0.148,17.670,45
67,09/01/2026,08:45:00,67,1,3.768,0.419,17.643,45
68,09/01/2026,09:05:00,68,1,3.768,0.771,17.798,45
69,09/01/2026,09:25:00,69,1,3.768,1.151,17.881,45
70,09/01/2026,09:45:00,70,1,3.768,2.640,17.980,45
