Ciclo,Hum Suelo (),Temp Suelo (C)
1,29,10.375
2,28,10.312
3,28,10.312
4,28,10.312
5,28,10.312
6,28,10.375
7,28,10.312
8,28,10.375
9,28,10.375
10,28,10.312
11,28,10.312
12,28,10.375
13,60,15.375
14,80,17.188
15,83,17.812
16,82,18.125
17,81,18.125
18,80,18.125
19,80,18.062
20,79,18.000
21,79,17.875
22,79,17.812
23,79,17.750
24,79,17.688
25,79,17.625
26,79,17.562
27,79,17.500
28,78,17.375
29,78,17.312
30,78,17.250
31,78,17.188
32,78,17.188
33,77,17.062
34,77,17.062
35,77,17.000
36,77,16.938
37,77,16.875
38,77,16.812
39,77,16.812
40,77,16.750
41,77,16.688
42,76,16.688
43,77,16.625
44,77,16.625
45,76,16.562
46,76,16.562
47,76,16.500
48,76,16.500
49,76,16.438
50,75,16.438
51,75,16.375
52,75,16.375
53,75,16.312
54,75,16.312
55,75,16.312
56,75,16.250
57,75,16.250
58,75,16.250
59,74,16.188
60,74,16.188
61,75,16.125
62,74,16.125
63,74,16.125
64,74,16.062
65,74,16.062
66,74,16.062
67,74,16.062
68,74,16.000
69,74,16.000
70,74,16.000
71,74,16.000
72,73,16.000
73,74,16.000
74,74,15.938
75,74,15.938
76,74,15.938
77,74,15.938
78,74,15.875
79,74,15.875
80,74,15.875
81,74,15.875
82,74,15.875
83,73,15.812
84,73,15.812
85,74,15.812
86,74,15.812
87,73,15.812
88,73,15.812
89,73,15.750
90,73,15.750
91,73,15.812
92,73,15.750
93,73,15.750
94,73,15.750
95,73,15.750
96,73,15.750
97,73,15.750
98,72,15.750
99,72,15.750
100,72,15.750
101,72,15.750
102,72,15.688
103,72,15.688
104,72,15.688
105,72,15.750
106,72,15.750
107,72,15.688
108,72,15.750
109,72,15.750
110,72,15.688
111,72,15.688
112,71,15.750
113,72,15.750
114,71,15.750
115,72,15.750
116,72,15.750
117,71,15.750
118,72,15.750
119,71,15.750
120,71,15.750
121,71,15.750
122,71,15.750
123,71,15.688
124,71,15.750
125,71,15.750
126,71,15.750
127,72,15.750
128,72,15.750
129,71,15.750
130,72,15.750
131,72,15.750
132,72,15.750
133,71,15.750
134,72,15.750
135,72,15.750
136,72,15.750
137,72,15.750
138,72,15.750
139,72,15.750
140,71,15.750
141,71,15.750
142,72,15.750
143,72,15.750
144,72,15.750
145,72,15.750
146,72,15.750
147,72,15.750
148,72,15.812
149,72,15.750
150,72,15.812
151,72,15.750
152,72,15.812
153,72,15.812
154,72,15.812
155,72,15.812
156,72,15.812
157,72,15.812
158,71,15.812
159,72,15.812
160,72,15.875
161,72,15.875
162,72,15.812
163,71,15.875
164,72,15.875
165,72,15.875
166,72,15.875
167,72,15.875
168,72,15.875
169,71,15.875
170,72,15.938
171,72,15.875
172,71,15.938
173,72,15.938
174,72,15.938
175,72,15.938
176,71,15.938
177,71,15.938
178,71,15.938
179,71,16.000
180,71,15.938
181,71,16.000
182,71,16.000
183,71,16.000
184,71,16.062
185,71,16.062
186,71,16.062
187,71,16.062
188,71,16.062
189,71,16.062
190,71,16.062
191,71,16.062
192,71,16.125
193,71,16.062
194,70,16.125
195,70,16.125
196,71,16.125
197,70,16.125
198,70,16.125
199,70,16.188
200,71,16.188
201,71,16.188
202,70,16.188
203,70,16.188
204,70,16.250
205,70,16.250
206,70,16.250
207,70,16.250
