FRAM inicializada correctamente
INA3221 inicializado correctamente
TSL2591 inicializado correctamente
SHT3x no inicializado
DFR0198 no inicializado
SEN0308 inicializado correctamente
Ciclo,Fecha,Hora,Slot Memoria,Slots Ocupados,Slot Valido,Bateria (V),Paneles Solares (V),Irradiancia (W/m2)
0,07/01/2026,10:45:00,0,1,1,3.944,1.000,3.559
1,07/01/2026,11:05:00,1,2,1,3.944,1.072,0.000
2,07/01/2026,11:25:00,2,3,1,3.944,1.072,0.000
3,07/01/2026,11:45:00,3,4,1,3.952,1.080,0.000
4,07/01/2026,12:05:00,4,5,1,3.952,1.056,0.000
5,07/01/2026,12:25:00,5,6,1,3.952,1.016,0.000
6,07/01/2026,12:45:00,6,7,1,3.952,1.072,0.000
7,07/01/2026,13:05:00,7,8,1,3.952,1.048,0.000
8,07/01/2026,13:25:00,8,9,1,3.952,1.080,0.000
9,07/01/2026,13:45:00,9,10,1,3.960,1.120,0.000
10,07/01/2026,14:05:00,10,11,1,3.952,1.080,0.000
11,07/01/2026,14:25:00,11,12,1,3.952,1.040,0.000
12,07/01/2026,14:45:00,12,13,1,3.952,1.016,0.000
13,07/01/2026,15:05:00,13,14,1,3.952,1.008,0.000
14,07/01/2026,15:25:00,14,15,1,3.944,1.032,0.000
15,07/01/2026,15:45:00,15,16,1,3.944,1.032,0.000
16,07/01/2026,16:05:00,16,17,1,3.944,1.008,0.000
17,07/01/2026,16:25:00,17,18,1,3.944,1.048,0.000
18,07/01/2026,16:45:00,18,19,1,3.944,0.984,0.000
19,07/01/2026,17:05:00,19,20,1,3.944,1.000,0.000
20,07/01/2026,17:25:00,20,21,1,3.936,0.856,0.000
21,07/01/2026,17:45:00,21,22,1,3.936,0.632,0.000
22,07/01/2026,18:05:00,22,23,1,3.936,0.440,0.000
23,07/01/2026,18:25:00,23,24,1,3.928,0.440,0.000
24,07/01/2026,18:45:00,24,25,1,3.928,0.440,0.000
25,07/01/2026,19:05:00,25,26,1,3.928,0.432,0.000
