Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR2032","1066",60.996843,-68.562576,180.000000,bottom
"C1","100nF","C_0402_1005Metric",79.424500,-48.146000,-90.000000,top
"C2","100nF","C_0402_1005Metric",86.409500,-46.114000,90.000000,top
"C3","100nF","C_0402_1005Metric",82.853500,-43.574000,180.000000,top
"C4","100nF","C_0402_1005Metric",79.297500,-46.114000,-90.000000,top
"C5","10uF","C_0603_1608Metric",80.313500,-72.530000,-90.000000,top
"C6","10uF","C_0603_1608Metric",87.171500,-64.656000,-90.000000,top
"C7","22uF","C_0603_1608Metric",85.139500,-67.704000,0.000000,top
"C8","10uF","C_0603_1608Metric",77.519500,-60.084000,-90.000000,top
"C9","150uF","C_1206_3216Metric",75.106500,-62.624000,90.000000,top
"C10","100nF","C_0402_1005Metric",55.548500,-63.894000,180.000000,top
"C11","100nF","C_0402_1005Metric",60.820343,-74.277576,0.000000,top
"C12","100nF","C_0402_1005Metric",59.993500,-58.306000,90.000000,top
"C13","100nF","C_0402_1005Metric",50.595500,-54.877000,90.000000,top
"C14","100nF","C_0402_1005Metric",56.945500,-46.876000,180.000000,top
"C15","4.7uF","C_0402_1005Metric",49.833500,-53.480000,0.000000,top
"C16","100nF","C_0402_1005Metric",50.087500,-52.464000,0.000000,top
"C17","100nF","C_0402_1005Metric",63.803500,-49.162000,180.000000,top
"C18","100nF","C_0402_1005Metric",54.913500,-58.179000,90.000000,top
"C19","100nF","C_0402_1005Metric",52.627500,-45.606000,0.000000,top
"C20","100pF","C_0402_1005Metric",52.627500,-46.622000,0.000000,top
"C21","100nF","C_0402_1005Metric",61.009500,-57.798000,90.000000,top
"C22","4.7uF","C_0402_1005Metric",50.328843,-50.147576,0.000000,top
"C23","100nF","C_0402_1005Metric",61.136500,-61.481000,90.000000,top
"C24","12pF","C_0402_1005Metric",64.565500,-56.147000,180.000000,top
"C25","12pF","C_0402_1005Metric",64.565500,-52.083000,180.000000,top
