Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",57.797657,-37.495424,-90.000000,top
"C2","100nF","C_0402_1005Metric",64.782657,-35.463424,90.000000,top
"C3","100nF","C_0402_1005Metric",61.226657,-32.923424,180.000000,top
"C4","100nF","C_0402_1005Metric",57.670657,-35.463424,-90.000000,top
"C5","10uF","C_0603_1608Metric",58.686657,-61.879424,-90.000000,top
"C6","10uF","C_0603_1608Metric",65.544657,-54.005424,-90.000000,top
"C7","22uF","C_0603_1608Metric",63.512657,-57.053424,0.000000,top
"C8","10uF","C_0603_1608Metric",55.892657,-49.433424,-90.000000,top
"C9","150uF","C_1206_3216Metric",53.479657,-51.973424,90.000000,top
"C10","100nF","C_0402_1005Metric",33.921657,-53.243424,180.000000,top
"C11","100nF","C_0402_1005Metric",40.144657,-63.403424,0.000000,top
"C12","100nF","C_0402_1005Metric",38.366657,-47.655424,90.000000,top
"C13","100nF","C_0402_1005Metric",28.968657,-44.226424,90.000000,top
"C14","100nF","C_0402_1005Metric",35.318657,-36.225424,180.000000,top
"C15","4.7uF","C_0402_1005Metric",28.206657,-42.829424,0.000000,top
"C16","100nF","C_0402_1005Metric",28.460657,-41.813424,0.000000,top
"C17","100nF","C_0402_1005Metric",42.176657,-38.511424,180.000000,top
"C18","100nF","C_0402_1005Metric",33.286657,-47.528424,90.000000,top
"C19","100nF","C_0402_1005Metric",31.000657,-34.955424,0.000000,top
"C20","100pF","C_0402_1005Metric",31.000657,-35.971424,0.000000,top
"C21","100nF","C_0402_1005Metric",39.382657,-47.147424,90.000000,top
"C22","4.7uF","C_0402_1005Metric",28.714657,-39.273424,0.000000,top
"C23","100nF","C_0402_1005Metric",39.509657,-50.830424,90.000000,top
"C24","12pF","C_0402_1005Metric",42.938657,-45.496424,180.000000,top
"C25","12pF","C_0402_1005Metric",42.938657,-41.432424,180.000000,top
"C26","100nF","C_0402_1005Metric",44.048552,-49.533438,-90.000000,top
"C27","100nF","C_0402_1005Metric",67.830657,-26.827424,0.000000,top
"C28","100nF","C_0402_1005Metric",57.797657,-26.827424,0.000000,top
"C29","1.2pF","C_0402_1005Metric",32.842657,-26.573424,0.000000,top
"C30","1.2pF","C_0402_1005Metric",32.778657,-23.144424,0.000000,top
"CN1","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical",25.285657,-65.816424,90.000000,top
"CN2","Conn_01x02","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",66.453657,-24.279924,0.000000,top
"CN3","Conn_01x02","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",56.781657,-24.287424,0.000000,top
"CN4","Conn_01x04","PinHeader_1x04_P2.54mm_Horizontal",74.815657,-39.146424,0.000000,top
"CN5","Conn_01x04","PinHeader_1x04_P2.54mm_Horizontal",74.815657,-51.846424,0.000000,top
"CN6","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",72.215657,-66.892424,-90.000000,top
"CN7","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",62.877657,-66.892424,-90.000000,top
